Name,Street,Suburb,City,Region,Longitude,Latitude
Chertsey School,83 High Street,Chertsey,Ashburton,Canterbury,171.937632,-43.804878
Chisnallwood Intermediate,Breezes Road,,Christchurch,Canterbury,172.688985,-43.509803
Christ The King School (Burnside),92 Greers Road,Burnside,Christchurch,Canterbury,172.576628,-43.509149
Christchurch East School,311 Gloucester Street,Christchurch Central,Christchurch,Canterbury,172.64835,-43.529642
Christchurch South Intermediate,204 Selwyn Street,Spreydon,Christchurch,Canterbury,172.625321,-43.55216
Clarkville School,10 Heywards Road,Clarkville,Kaiapoi,Canterbury,172.623348,-43.405992
Cobden School,Fox Street,Cobden,Greymouth,West Coast,171.211019,-42.440332
Cobham Intermediate,294 Ilam Road,Fendalton,Christchurch,Canterbury,172.583783,-43.510462
Cotswold School,Cotswold Avenue,Bishopdale,Christchurch,Canterbury,172.58717,-43.482453
Cust School,473 Early'S Road,,Cust,Canterbury,172.381029,-43.312452
Darfield School,16 Ross Street,,Darfield,Canterbury,172.106315,-43.490406
Diamond Harbour School,13 Hunters Road,,Diamond Harbour,Canterbury,172.726697,-43.629957
Dorie School,103 Dorie School Road,,Ashburton,Canterbury,172.116642,-43.86517
Dunsandel School,Irvines Road,,Leeston,Canterbury,172.197099,-43.667579
Duvauchelle School,"School Lane, RD 1",,Duvauchelle,Canterbury,172.932037,-43.749666
Elmwood Normal School,Aikmans Road,Merivale,Christchurch,Canterbury,172.614747,-43.513809
Fairlie School,21 School Road,,Fairlie,Canterbury,170.826007,-44.100607
Fairton School,14 Fairfield Road,Fairton,Ashburton,Canterbury,171.815587,-43.870487
Fendalton Open Air School,168 Clyde Road,Burnside,Christchurch,Canterbury,172.59114,-43.517076
Ferndale School (Christchurch),104 Merivale Lane,Merivale,Christchurch,Canterbury,172.62164,-43.517081
Fernside School,O'Roarkes Road,Fernside,Rangiora,Canterbury,172.533602,-43.312422
Fox Glacier School,Cook Flat Road,,Fox Glacier,West Coast,170.008365,-43.462922
Franz Josef Glacier School,State Highway 6,,Franz Josef,West Coast,170.180406,-43.374439
Gilberthorpe School,163 Gilberthorpes Road,Hei Hei,Christchurch,Canterbury,172.521336,-43.529733
Gleniti School,22 Heath Street,,Timaru,Canterbury,171.193226,-44.382752
Glenavy School,19 Ruane Street,Glenavy,Waimate,Canterbury,171.098337,-44.914541
Glentunnel School,Homebush Road,,Glentunnel,Canterbury,171.932427,-43.482042
Governors Bay School,1 Jetty Road,,Governors Bay,Canterbury,172.649982,-43.623981
Greendale School,Greendale Road,Greendale,Christchurch,Canterbury,172.083949,-43.572737
Greta Valley School,Motunau Beach,,Amberley,Canterbury,172.977853,-42.9649
Greymouth Main School,Joyce Crescent,,Greymouth,West Coast,171.197272,-42.466685
Haast School,Jacksons Bay Road,Hannah's Clearing,Haast,West Coast,168.857146,-43.940777
Halswell School,437 Halswell Road,Halswell,Christchurch,Canterbury,172.569373,-43.59065
Hampstead School,55 Wellington Street,,Ashburton,Canterbury,171.76019,-43.912529
Hanmer Springs School,8 Cheltenham Street,,Hanmer Springs,Canterbury,172.831492,-42.521953
Hapuku School,Kincaid Road,,Kaikoura,Canterbury,173.704963,-42.334212
Harewood School,721 Harewood Road,Harewood,Christchurch,Canterbury,172.559438,-43.479767
